Municipios;Tipo de vivienda;Total
14002  Aguilar de la Frontera;2.1 Total viviendas principales;5.145
08002  Aguilar de Segarra;2 Total viviendas familiares;163
08002  Aguilar de Segarra;2.1 Total viviendas principales;163
44005  Aguilar del Alfambra;2 Total viviendas familiares;159
44005  Aguilar del Alfambra;2.1 Total viviendas principales;32
26003  Aguilar del Río Alhama;2 Total viviendas familiares;667
26003  Aguilar del Río Alhama;2.1 Total viviendas principales;253
30003  Águilas;2 Total viviendas familiares;21.384
30003  Águilas;2.1 Total viviendas principales;12.089
50005  Aguilón;2 Total viviendas familiares;272
50005  Aguilón;2.1 Total viviendas principales;123
35002  Agüimes;2 Total viviendas familiares;13.975
35002  Agüimes;2.1 Total viviendas principales;10.655
17001  Agullana;2 Total viviendas familiares;514
17001  Agullana;2.1 Total viviendas principales;324
46004  Agullent;2 Total viviendas familiares;1.366
46004  Agullent;2.1 Total viviendas principales;942
38002  Agulo;2 Total viviendas familiares;591
38002  Agulo;2.1 Total viviendas principales;438
10006  Ahigal;2 Total viviendas familiares;1.023
10006  Ahigal;2.1 Total viviendas principales;630
37003  Ahigal de los Aceiteros;2 Total viviendas familiares;179
37003  Ahigal de los Aceiteros;2.1 Total viviendas principales;71
37004  Ahigal de Villarino;2 Total viviendas familiares;46
37004  Ahigal de Villarino;2.1 Total viviendas principales;25
06003  Ahillones;2 Total viviendas familiares;782
06003  Ahillones;2.1 Total viviendas principales;427
20016  Aia;2 Total viviendas familiares;888
20016  Aia;2.1 Total viviendas principales;745
31009  Aibar/Oibar;2 Total viviendas familiares;468
31009  Aibar/Oibar;2.1 Total viviendas principales;325
46042  Aielo de Malferit;2 Total viviendas familiares;2.162
46042  Aielo de Malferit;2.1 Total viviendas principales;1.706
46043  Aielo de Rugat;2 Total viviendas familiares;125
46043  Aielo de Rugat;2.1 Total viviendas principales;71
08014  Aiguafreda;2 Total viviendas familiares;1.338
08014  Aiguafreda;2.1 Total viviendas principales;930
43001  Aiguamúrcia;2 Total viviendas familiares;854
43001  Aiguamúrcia;2.1 Total viviendas principales;355
17002  Aiguaviva;2 Total viviendas familiares;269
17002  Aiguaviva;2.1 Total viviendas principales;256
03004  Aigües;2 Total viviendas familiares;898
03004  Aigües;2.1 Total viviendas principales;446
12002  Aín;2 Total viviendas familiares;255
12002  Aín;2.1 Total viviendas principales;70
22907  Aínsa-Sobrarbe;2 Total viviendas familiares;1.190
22907  Aínsa-Sobrarbe;2.1 Total viviendas principales;863
50006  Ainzón;2 Total viviendas familiares;783
50006  Ainzón;2.1 Total viviendas principales;482
22006  Aisa;2 Total viviendas familiares;1.384
22006  Aisa;2.1 Total viviendas principales;145
25038  Aitona;2 Total viviendas familiares;1.069
25038  Aitona;2.1 Total viviendas principales;832
20003  Aizarnazabal;2 Total viviendas familiares;327
20003  Aizarnazabal;2.1 Total viviendas principales;273
28002  Ajalvir;2 Total viviendas familiares;1.564
28002  Ajalvir;2.1 Total viviendas principales;1.533
26004  Ajamil de Cameros;2 Total viviendas familiares;51
26004  Ajamil de Cameros;2.1 Total viviendas principales;36
48911  Ajangiz;2 Total viviendas familiares;197
48911  Ajangiz;2.1 Total viviendas principales;170
45001  Ajofrín;2 Total viviendas familiares;1.133
45001  Ajofrín;2.1 Total viviendas principales;802
44006  Alacón;2 Total viviendas familiares;375
44006  Alacón;2.1 Total viviendas principales;141
50007  Aladrén;2 Total viviendas familiares;132
50007  Aladrén;2.1 Total viviendas principales;33
47004  Alaejos;2 Total viviendas familiares;1.120
47004  Alaejos;2.1 Total viviendas principales;620
50008  Alagón;2 Total viviendas familiares;3.390
50008  Alagón;2.1 Total viviendas principales;2.670
10903  Alagón del Río;2 Total viviendas familiares;423
10903  Alagón del Río;2.1 Total viviendas principales;369
07002  Alaior;2 Total viviendas familiares;5.408
07002  Alaior;2.1 Total viviendas principales;3.729
21001  Alájar;2 Total viviendas familiares;675
21001  Alájar;2.1 Total viviendas principales;301
38003  Alajeró;2 Total viviendas familiares;1.645
38003  Alajeró;2.1 Total viviendas principales;735
29001  Alameda;2 Total viviendas familiares;2.371
29001  Alameda;2.1 Total viviendas principales;2.003
37005  Alameda de Gardón, La;2 Total viviendas familiares;181
37005  Alameda de Gardón, La;2.1 Total viviendas principales;56
45002  Alameda de la Sagra;2 Total viviendas familiares;2.076
45002  Alameda de la Sagra;2.1 Total viviendas principales;1.201
28003  Alameda del Valle;2 Total viviendas familiares;393
28003  Alameda del Valle;2.1 Total viviendas principales;113
18002  Alamedilla;2 Total viviendas familiares;540
18002  Alamedilla;2.1 Total viviendas principales;293
37006  Alamedilla, La;2 Total viviendas familiares;174
37006  Alamedilla, La;2.1 Total viviendas principales;81
13003  Alamillo;2 Total viviendas familiares;551
13003  Alamillo;2.1 Total viviendas principales;237
19004  Alaminos;2 Total viviendas familiares;100
19004  Alaminos;2.1 Total viviendas principales;38
28004  Álamo, El;2 Total viviendas familiares;4.087
28004  Álamo, El;2.1 Total viviendas principales;2.916
25004  Alamús, Els;2 Total viviendas familiares;419
25004  Alamús, Els;2.1 Total viviendas principales;281
06004  Alange;2 Total viviendas familiares;960
06004  Alange;2.1 Total viviendas principales;745
41002  Alanís;2 Total viviendas familiares;1.148
41002  Alanís;2.1 Total viviendas principales;716
46005  Alaquàs;2 Total viviendas familiares;14.642
46005  Alaquàs;2.1 Total viviendas principales;11.528
34005  Alar del Rey;2 Total viviendas familiares;1.056
34005  Alar del Rey;2.1 Total viviendas principales;479
37007  Alaraz;2 Total viviendas familiares;563
37007  Alaraz;2.1 Total viviendas principales;239
50009  Alarba;2 Total viviendas familiares;204
50009  Alarba;2.1 Total viviendas principales;58
16003  Alarcón;2 Total viviendas familiares;199
16003  Alarcón;2.1 Total viviendas principales;73
19005  Alarilla;2 Total viviendas familiares;145
19005  Alarilla;2.1 Total viviendas principales;48
07001  Alaró;2 Total viviendas familiares;3.035
07001  Alaró;2.1 Total viviendas principales;2.188
25005  Alàs i Cerc;2 Total viviendas familiares;299
25005  Alàs i Cerc;2.1 Total viviendas principales;132
02002  Alatoz;2 Total viviendas familiares;528
02002  Alatoz;2.1 Total viviendas principales;252
44007  Alba;2 Total viviendas familiares;212
44007  Alba;2.1 Total viviendas principales;102
34006  Alba de Cerrato;2 Total viviendas familiares;89
34006  Alba de Cerrato;2.1 Total viviendas principales;38
37008  Alba de Tormes;2 Total viviendas familiares;3.298
37008  Alba de Tormes;2.1 Total viviendas principales;2.076
37009  Alba de Yeltes;2 Total viviendas familiares;175
37009  Alba de Yeltes;2.1 Total viviendas principales;113
02003  Albacete;2 Total viviendas familiares;83.229
02003  Albacete;2.1 Total viviendas principales;62.980
25006  Albagés, L';2 Total viviendas familiares;240
25006  Albagés, L';2.1 Total viviendas principales;152
46006  Albaida;2 Total viviendas familiares;3.279
46006  Albaida;2.1 Total viviendas principales;2.303
