Municipios;Tipo de vivienda;Total
04070  Oria;2 Total viviendas familiares;1.359
04070  Oria;2.1 Total viviendas principales;1.059
03099  Orihuela;2 Total viviendas familiares;69.486
03099  Orihuela;2.1 Total viviendas principales;31.021
44174  Orihuela del Tremedal;2 Total viviendas familiares;475
44174  Orihuela del Tremedal;2.1 Total viviendas principales;228
20061  Orio;2 Total viviendas familiares;2.535
20061  Orio;2.1 Total viviendas principales;1.989
08150  Orís;2 Total viviendas familiares;173
08150  Orís;2.1 Total viviendas principales;111
31197  Orísoain;2 Total viviendas familiares;64
31197  Orísoain;2.1 Total viviendas principales;29
08151  Oristà;2 Total viviendas familiares;241
08151  Oristà;2.1 Total viviendas principales;195
31906  Orkoien;2 Total viviendas familiares;1.494
31906  Orkoien;2.1 Total viviendas principales;1.372
20062  Ormaiztegi;2 Total viviendas familiares;598
20062  Ormaiztegi;2.1 Total viviendas principales;495
31198  Oronz/Orontze;2 Total viviendas familiares;33
31198  Oronz/Orontze;2.1 Total viviendas principales;17
45125  Oropesa;2 Total viviendas familiares;2.029
45125  Oropesa;2.1 Total viviendas principales;1.141
12085  Oropesa del Mar/Orpesa;2 Total viviendas familiares;20.776
12085  Oropesa del Mar/Orpesa;2.1 Total viviendas principales;4.366
15060  Oroso;2 Total viviendas familiares;3.606
15060  Oroso;2.1 Total viviendas principales;2.596
38026  Orotava, La;2 Total viviendas familiares;17.001
38026  Orotava, La;2.1 Total viviendas principales;14.646
31199  Oroz-Betelu/Orotz-Betelu;2 Total viviendas familiares;141
31199  Oroz-Betelu/Orotz-Betelu;2.1 Total viviendas principales;70
48075  Orozko;2 Total viviendas familiares;1.501
48075  Orozko;2.1 Total viviendas principales;974
08152  Orpí;2 Total viviendas familiares;106
08152  Orpí;2.1 Total viviendas principales;62
31211  Orreaga/Roncesvalles;2 Total viviendas familiares;19
31211  Orreaga/Roncesvalles;2.1 Total viviendas principales;9
44175  Orrios;2 Total viviendas familiares;128
44175  Orrios;2.1 Total viviendas principales;61
08153  Òrrius;2 Total viviendas familiares;358
08153  Òrrius;2.1 Total viviendas principales;253
26112  Ortigosa de Cameros;2 Total viviendas familiares;291
26112  Ortigosa de Cameros;2.1 Total viviendas principales;110
40151  Ortigosa de Pestaño;2 Total viviendas familiares;63
40151  Ortigosa de Pestaño;2.1 Total viviendas principales;33
40901  Ortigosa del Monte;2 Total viviendas familiares;374
40901  Ortigosa del Monte;2.1 Total viviendas principales;204
15061  Ortigueira;2 Total viviendas familiares;5.353
15061  Ortigueira;2.1 Total viviendas principales;2.718
48083  Ortuella;2 Total viviendas familiares;3.836
48083  Ortuella;2.1 Total viviendas principales;3.318
28102  Orusco de Tajuña;2 Total viviendas familiares;994
28102  Orusco de Tajuña;2.1 Total viviendas principales;488
03098  Orxeta;2 Total viviendas familiares;656
03098  Orxeta;2.1 Total viviendas principales;389
25156  Os de Balaguer;2 Total viviendas familiares;675
25156  Os de Balaguer;2.1 Total viviendas principales;353
16145  Osa de la Vega;2 Total viviendas familiares;669
16145  Osa de la Vega;2.1 Total viviendas principales;206
50198  Oseja;2 Total viviendas familiares;63
50198  Oseja;2.1 Total viviendas principales;25
24106  Oseja de Sajambre;2 Total viviendas familiares;332
24106  Oseja de Sajambre;2.1 Total viviendas principales;164
50199  Osera de Ebro;2 Total viviendas familiares;372
50199  Osera de Ebro;2.1 Total viviendas principales;153
05175  Oso, El;2 Total viviendas familiares;147
05175  Oso, El;2.1 Total viviendas principales;87
17116  Osor;2 Total viviendas familiares;333
17116  Osor;2.1 Total viviendas principales;199
34116  Osornillo;2 Total viviendas familiares;75
34116  Osornillo;2.1 Total viviendas principales;40
34901  Osorno la Mayor;2 Total viviendas familiares;1.003
34901  Osorno la Mayor;2.1 Total viviendas principales;520
02057  Ossa de Montiel;2 Total viviendas familiares;1.820
02057  Ossa de Montiel;2.1 Total viviendas principales;1.042
22167  Osso de Cinca;2 Total viviendas familiares;297
22167  Osso de Cinca;2.1 Total viviendas principales;264
25157  Ossó de Sió;2 Total viviendas familiares;210
25157  Ossó de Sió;2.1 Total viviendas principales;88
41068  Osuna;2 Total viviendas familiares;8.120
41068  Osuna;2.1 Total viviendas principales;6.087
31200  Oteiza;2 Total viviendas familiares;517
31200  Oteiza;2.1 Total viviendas principales;374
45126  Otero;2 Total viviendas familiares;441
45126  Otero;2.1 Total viviendas principales;160
49139  Otero de Bodas;2 Total viviendas familiares;221
49139  Otero de Bodas;2.1 Total viviendas principales;111
40152  Otero de Herreros;2 Total viviendas familiares;845
40152  Otero de Herreros;2.1 Total viviendas principales;399
18148  Otívar;2 Total viviendas familiares;721
18148  Otívar;2.1 Total viviendas principales;479
46185  Otos;2 Total viviendas familiares;269
46185  Otos;2.1 Total viviendas principales;183
18149  Otura;2 Total viviendas familiares;3.509
18149  Otura;2.1 Total viviendas principales;2.410
48072  Otxandio;2 Total viviendas familiares;806
48072  Otxandio;2.1 Total viviendas principales;560
32054  Ourense;2 Total viviendas familiares;67.073
32054  Ourense;2.1 Total viviendas principales;43.805
27038  Ourol;2 Total viviendas familiares;678
27038  Ourol;2.1 Total viviendas principales;440
27039  Outeiro de Rei;2 Total viviendas familiares;2.585
27039  Outeiro de Rei;2.1 Total viviendas principales;1.822
15062  Outes;2 Total viviendas familiares;3.824
15062  Outes;2.1 Total viviendas principales;2.451
33044  Oviedo;2 Total viviendas familiares;123.686
33044  Oviedo;2.1 Total viviendas principales;97.821
01043  Oyón-Oion;2 Total viviendas familiares;1.608
01043  Oyón-Oion;2.1 Total viviendas principales;1.246
15063  Oza dos Ríos;2 Total viviendas familiares;2.043
15063  Oza dos Ríos;2.1 Total viviendas principales;1.319
08154  Pacs del Penedès;2 Total viviendas familiares;362
08154  Pacs del Penedès;2.1 Total viviendas principales;276
15064  Paderne;2 Total viviendas familiares;1.166
15064  Paderne;2.1 Total viviendas principales;923
32055  Paderne de Allariz;2 Total viviendas familiares;1.441
32055  Paderne de Allariz;2.1 Total viviendas principales;670
05176  Padiernos;2 Total viviendas familiares;323
05176  Padiernos;2.1 Total viviendas principales;126
09242  Padilla de Abajo;2 Total viviendas familiares;101
09242  Padilla de Abajo;2.1 Total viviendas principales;50
09243  Padilla de Arriba;2 Total viviendas familiares;96
09243  Padilla de Arriba;2.1 Total viviendas principales;52
32056  Padrenda;2 Total viviendas familiares;1.565
32056  Padrenda;2.1 Total viviendas principales;892
15065  Padrón;2 Total viviendas familiares;4.608
15065  Padrón;2.1 Total viviendas principales;3.130
09244  Padrones de Bureba;2 Total viviendas familiares;96
09244  Padrones de Bureba;2.1 Total viviendas principales;21
18150  Padul;2 Total viviendas familiares;4.958
18150  Padul;2.1 Total viviendas principales;2.995
04071  Padules;2 Total viviendas familiares;353
04071  Padules;2.1 Total viviendas principales;262
46186  Paiporta;2 Total viviendas familiares;11.399
46186  Paiporta;2.1 Total viviendas principales;9.708
35015  Pájara;2 Total viviendas familiares;10.135
35015  Pájara;2.1 Total viviendas principales;8.761
40154  Pajarejos;2 Total viviendas familiares;31
40154  Pajarejos;2.1 Total viviendas principales;13
05177  Pajares de Adaja;2 Total viviendas familiares;172
05177  Pajares de Adaja;2.1 Total viviendas principales;81
37225  Pajares de la Laguna;2 Total viviendas familiares;89
37225  Pajares de la Laguna;2.1 Total viviendas principales;49
49141  Pajares de la Lampreana;2 Total viviendas familiares;293
49141  Pajares de la Lampreana;2.1 Total viviendas principales;182
24107  Pajares de los Oteros;2 Total viviendas familiares;331
24107  Pajares de los Oteros;2.1 Total viviendas principales;155
16146  Pajarón;2 Total viviendas familiares;93
16146  Pajarón;2.1 Total viviendas principales;44
16147  Pajaroncillo;2 Total viviendas familiares;106
16147  Pajaroncillo;2.1 Total viviendas principales;39
05178  Palacios de Goda;2 Total viviendas familiares;272
05178  Palacios de Goda;2.1 Total viviendas principales;179
09246  Palacios de la Sierra;2 Total viviendas familiares;641
09246  Palacios de la Sierra;2.1 Total viviendas principales;331
24108  Palacios de la Valduerna;2 Total viviendas familiares;502
24108  Palacios de la Valduerna;2.1 Total viviendas principales;184
09247  Palacios de Riopisuerga;2 Total viviendas familiares;42
09247  Palacios de Riopisuerga;2.1 Total viviendas principales;15
49143  Palacios de Sanabria;2 Total viviendas familiares;424
49143  Palacios de Sanabria;2.1 Total viviendas principales;112
37226  Palacios del Arzobispo;2 Total viviendas familiares;142
37226  Palacios del Arzobispo;2.1 Total viviendas principales;75
49142  Palacios del Pan;2 Total viviendas familiares;213
49142  Palacios del Pan;2.1 Total viviendas principales;117
24109  Palacios del Sil;2 Total viviendas familiares;910
24109  Palacios del Sil;2.1 Total viviendas principales;435
41069  Palacios y Villafranca, Los;2 Total viviendas familiares;13.973
41069  Palacios y Villafranca, Los;2.1 Total viviendas principales;12.234
37228  Palaciosrubios;2 Total viviendas familiares;277
37228  Palaciosrubios;2.1 Total viviendas principales;178
08155  Palafolls;2 Total viviendas familiares;4.238
08155  Palafolls;2.1 Total viviendas principales;3.438
17117  Palafrugell;2 Total viviendas familiares;17.055
17117  Palafrugell;2.1 Total viviendas principales;8.349
17118  Palamós;2 Total viviendas familiares;11.994
17118  Palamós;2.1 Total viviendas principales;7.358
12087  Palanques;2 Total viviendas familiares;69
12087  Palanques;2.1 Total viviendas principales;11
27040  Palas de Rei;2 Total viviendas familiares;2.580
27040  Palas de Rei;2.1 Total viviendas principales;1.550
25158  Palau d'Anglesola, El;2 Total viviendas familiares;897
25158  Palau d'Anglesola, El;2.1 Total viviendas principales;801
17119  Palau de Santa Eulàlia;2 Total viviendas familiares;71
17119  Palau de Santa Eulàlia;2.1 Total viviendas principales;44
17121  Palau-sator;2 Total viviendas familiares;226
17121  Palau-sator;2.1 Total viviendas principales;98
17120  Palau-saverdera;2 Total viviendas familiares;794
17120  Palau-saverdera;2.1 Total viviendas principales;576
08156  Palau-solità i Plegamans;2 Total viviendas familiares;5.797
08156  Palau-solità i Plegamans;2.1 Total viviendas principales;4.897
47109  Palazuelo de Vedija;2 Total viviendas familiares;204
47109  Palazuelo de Vedija;2.1 Total viviendas principales;106
40155  Palazuelos de Eresma;2 Total viviendas familiares;2.389
40155  Palazuelos de Eresma;2.1 Total viviendas principales;1.731
09248  Palazuelos de la Sierra;2 Total viviendas familiares;104
09248  Palazuelos de la Sierra;2.1 Total viviendas principales;41
09249  Palazuelos de Muñó;2 Total viviendas familiares;86
09249  Palazuelos de Muñó;2.1 Total viviendas principales;30
34120  Palencia;2 Total viviendas familiares;44.573
34120  Palencia;2.1 Total viviendas principales;32.691
37229  Palencia de Negrilla;2 Total viviendas familiares;136
37229  Palencia de Negrilla;2.1 Total viviendas principales;68
14048  Palenciana;2 Total viviendas familiares;824
14048  Palenciana;2.1 Total viviendas principales;592
34121  Palenzuela;2 Total viviendas familiares;261
34121  Palenzuela;2.1 Total viviendas principales;98
43100  Pallaresos, Els;2 Total viviendas familiares;1.786
43100  Pallaresos, Els;2.1 Total viviendas principales;1.516
08157  Pallejà;2 Total viviendas familiares;4.794
08157  Pallejà;2.1 Total viviendas principales;4.147
07040  Palma;2 Total viviendas familiares;182.186
07040  Palma;2.1 Total viviendas principales;159.316
08905  Palma de Cervelló, La;2 Total viviendas familiares;1.287
08905  Palma de Cervelló, La;2.1 Total viviendas principales;1.087
46187  Palma de Gandía;2 Total viviendas familiares;1.332
46187  Palma de Gandía;2.1 Total viviendas principales;711
43099  Palma d'Ebre, La;2 Total viviendas familiares;307
43099  Palma d'Ebre, La;2.1 Total viviendas principales;174
21054  Palma del Condado, La;2 Total viviendas familiares;4.690
21054  Palma del Condado, La;2.1 Total viviendas principales;3.627
14049  Palma del Río;2 Total viviendas familiares;9.444
14049  Palma del Río;2.1 Total viviendas principales;7.721
19208  Pálmaces de Jadraque;2 Total viviendas familiares;278
19208  Pálmaces de Jadraque;2.1 Total viviendas principales;40
35016  Palmas de Gran Canaria, Las;2 Total viviendas familiares;182.890
35016  Palmas de Gran Canaria, Las;2.1 Total viviendas principales;144.987
46188  Palmera;2 Total viviendas familiares;511
46188  Palmera;2.1 Total viviendas principales;402
22168  Palo;2 Total viviendas familiares;51
22168  Palo;2.1 Total viviendas principales;18
17123  Palol de Revardit;2 Total viviendas familiares;183
17123  Palol de Revardit;2.1 Total viviendas principales;169
44176  Palomar de Arroyos;2 Total viviendas familiares;196
44176  Palomar de Arroyos;2.1 Total viviendas principales;62
46189  Palomar, el;2 Total viviendas familiares;360
46189  Palomar, el;2.1 Total viviendas principales;249
16148  Palomares del Campo;2 Total viviendas familiares;657
16148  Palomares del Campo;2.1 Total viviendas principales;303
41070  Palomares del Río;2 Total viviendas familiares;3.049
41070  Palomares del Río;2.1 Total viviendas principales;2.597
06098  Palomas;2 Total viviendas familiares;322
06098  Palomas;2.1 Total viviendas principales;260
45127  Palomeque;2 Total viviendas familiares;890
45127  Palomeque;2.1 Total viviendas principales;323
16149  Palomera;2 Total viviendas familiares;231
16149  Palomera;2.1 Total viviendas principales;92
10137  Palomero;2 Total viviendas familiares;349
10137  Palomero;2.1 Total viviendas principales;194
21055  Palos de la Frontera;2 Total viviendas familiares;4.103
21055  Palos de la Frontera;2.1 Total viviendas principales;3.206
17124  Pals;2 Total viviendas familiares;4.058
17124  Pals;2.1 Total viviendas principales;1.043
18151  Pampaneira;2 Total viviendas familiares;320
18151  Pampaneira;2.1 Total viviendas principales;154
09250  Pampliega;2 Total viviendas familiares;406
09250  Pampliega;2.1 Total viviendas principales;165
31201  Pamplona/Iruña;2 Total viviendas familiares;90.177
31201  Pamplona/Iruña;2.1 Total viviendas principales;78.924
09251  Pancorbo;2 Total viviendas familiares;384
09251  Pancorbo;2.1 Total viviendas principales;203
44177  Pancrudo;2 Total viviendas familiares;195
44177  Pancrudo;2.1 Total viviendas principales;68
50200  Paniza;2 Total viviendas familiares;461
50200  Paniza;2.1 Total viviendas principales;305
22170  Panticosa;2 Total viviendas familiares;1.894
22170  Panticosa;2.1 Total viviendas principales;321
45128  Pantoja;2 Total viviendas familiares;1.599
45128  Pantoja;2.1 Total viviendas principales;1.158
27041  Pantón;2 Total viviendas familiares;1.675
27041  Pantón;2.1 Total viviendas principales;1.215
05179  Papatrigo;2 Total viviendas familiares;234
05179  Papatrigo;2.1 Total viviendas principales;112
08158  Papiol, El;2 Total viviendas familiares;1.828
08158  Papiol, El;2.1 Total viviendas principales;1.470
16150  Paracuellos;2 Total viviendas familiares;269
16150  Paracuellos;2.1 Total viviendas principales;58
28104  Paracuellos de Jarama;2 Total viviendas familiares;7.244
28104  Paracuellos de Jarama;2.1 Total viviendas principales;6.976
50201  Paracuellos de Jiloca;2 Total viviendas familiares;366
50201  Paracuellos de Jiloca;2.1 Total viviendas principales;228
50202  Paracuellos de la Ribera;2 Total viviendas familiares;289
50202  Paracuellos de la Ribera;2.1 Total viviendas principales;92
37230  Parada de Arriba;2 Total viviendas familiares;197
37230  Parada de Arriba;2.1 Total viviendas principales;106
37231  Parada de Rubiales;2 Total viviendas familiares;301
37231  Parada de Rubiales;2.1 Total viviendas principales;149
32057  Parada de Sil;2 Total viviendas familiares;800
32057  Parada de Sil;2.1 Total viviendas principales;301
41071  Paradas;2 Total viviendas familiares;3.308
41071  Paradas;2.1 Total viviendas principales;2.651
27042  Paradela;2 Total viviendas familiares;1.093
27042  Paradela;2.1 Total viviendas principales;652
37232  Paradinas de San Juan;2 Total viviendas familiares;347
37232  Paradinas de San Juan;2.1 Total viviendas principales;180
34122  Páramo de Boedo;2 Total viviendas familiares;65
34122  Páramo de Boedo;2.1 Total viviendas principales;33
24110  Páramo del Sil;2 Total viviendas familiares;1.057
24110  Páramo del Sil;2.1 Total viviendas principales;608
27043  Páramo, O;2 Total viviendas familiares;728
27043  Páramo, O;2.1 Total viviendas principales;454
29077  Parauta;2 Total viviendas familiares;241
29077  Parauta;2.1 Total viviendas principales;109
03100  Parcent;2 Total viviendas familiares;785
03100  Parcent;2.1 Total viviendas principales;422
09253  Pardilla;2 Total viviendas familiares;84
09253  Pardilla;2.1 Total viviendas principales;47
17125  Pardines;2 Total viviendas familiares;203
17125  Pardines;2.1 Total viviendas principales;59
19209  Pardos;2 Total viviendas familiares;63
19209  Pardos;2.1 Total viviendas principales;26
16151  Paredes;2 Total viviendas familiares;69
16151  Paredes;2.1 Total viviendas principales;31
45129  Paredes de Escalona;2 Total viviendas familiares;234
45129  Paredes de Escalona;2.1 Total viviendas principales;85
34123  Paredes de Nava;2 Total viviendas familiares;1.414
34123  Paredes de Nava;2.1 Total viviendas principales;776
19210  Paredes de Sigüenza;2 Total viviendas familiares;104
19210  Paredes de Sigüenza;2.1 Total viviendas principales;13
19211  Pareja;2 Total viviendas familiares;1.498
19211  Pareja;2.1 Total viviendas principales;245
08159  Parets del Vallès;2 Total viviendas familiares;7.549
08159  Parets del Vallès;2.1 Total viviendas principales;6.888
28106  Parla;2 Total viviendas familiares;47.093
28106  Parla;2.1 Total viviendas principales;43.712
17126  Parlavà;2 Total viviendas familiares;240
17126  Parlavà;2.1 Total viviendas principales;160
16152  Parra de las Vegas, La;2 Total viviendas familiares;90
16152  Parra de las Vegas, La;2.1 Total viviendas principales;30
06099  Parra, La;2 Total viviendas familiares;729
06099  Parra, La;2.1 Total viviendas principales;468
05180  Parral, El;2 Total viviendas familiares;76
05180  Parral, El;2.1 Total viviendas principales;43
44178  Parras de Castellote, Las;2 Total viviendas familiares;208
44178  Parras de Castellote, Las;2.1 Total viviendas principales;38
33045  Parres;2 Total viviendas familiares;3.888
33045  Parres;2.1 Total viviendas principales;2.501
47110  Parrilla, La;2 Total viviendas familiares;343
47110  Parrilla, La;2.1 Total viviendas principales;224
45130  Parrillas;2 Total viviendas familiares;585
45130  Parrillas;2.1 Total viviendas principales;190
04072  Partaloa;2 Total viviendas familiares;559
04072  Partaloa;2.1 Total viviendas principales;400
09255  Partido de la Sierra en Tobalina;2 Total viviendas familiares;98
09255  Partido de la Sierra en Tobalina;2.1 Total viviendas principales;49
20064  Pasaia;2 Total viviendas familiares;7.519
20064  Pasaia;2.1 Total viviendas principales;6.398
10138  Pasarón de la Vera;2 Total viviendas familiares;594
10138  Pasarón de la Vera;2.1 Total viviendas principales;270
05181  Pascualcobo;2 Total viviendas familiares;192
05181  Pascualcobo;2.1 Total viviendas principales;19
38027  Paso, El;2 Total viviendas familiares;3.635
38027  Paso, El;2.1 Total viviendas principales;2.822
43101  Passanant i Belltall;2 Total viviendas familiares;253
43101  Passanant i Belltall;2.1 Total viviendas principales;93
37233  Pastores;2 Total viviendas familiares;67
37233  Pastores;2.1 Total viviendas principales;27
27044  Pastoriza, A;2 Total viviendas familiares;1.612
27044  Pastoriza, A;2.1 Total viviendas principales;1.085
19212  Pastrana;2 Total viviendas familiares;1.180
19212  Pastrana;2.1 Total viviendas principales;455
50203  Pastriz;2 Total viviendas familiares;552
50203  Pastriz;2.1 Total viviendas principales;509
46190  Paterna;2 Total viviendas familiares;34.116
46190  Paterna;2.1 Total viviendas principales;25.730
11025  Paterna de Rivera;2 Total viviendas familiares;2.624
11025  Paterna de Rivera;2.1 Total viviendas principales;2.046
21056  Paterna del Campo;2 Total viviendas familiares;1.687
21056  Paterna del Campo;2.1 Total viviendas principales;1.362
02058  Paterna del Madera;2 Total viviendas familiares;698
02058  Paterna del Madera;2.1 Total viviendas principales;214
04073  Paterna del Río;2 Total viviendas familiares;805
04073  Paterna del Río;2.1 Total viviendas principales;227
28107  Patones;2 Total viviendas familiares;472
28107  Patones;2.1 Total viviendas principales;194
17128  Pau;2 Total viviendas familiares;280
17128  Pau;2.1 Total viviendas principales;207
43102  Paüls;2 Total viviendas familiares;258
43102  Paüls;2.1 Total viviendas principales;214
12088  Pavías;2 Total viviendas familiares;181
12088  Pavías;2.1 Total viviendas principales;29
21057  Paymogo;2 Total viviendas familiares;707
21057  Paymogo;2.1 Total viviendas principales;471
34124  Payo de Ojeda;2 Total viviendas familiares;80
34124  Payo de Ojeda;2.1 Total viviendas principales;29
37234  Payo, El;2 Total viviendas familiares;386
37234  Payo, El;2.1 Total viviendas principales;203
36037  Pazos de Borbén;2 Total viviendas familiares;1.406
36037  Pazos de Borbén;2.1 Total viviendas principales;1.019
26113  Pazuengos;2 Total viviendas familiares;55
26113  Pazuengos;2.1 Total viviendas principales;17
23066  Peal de Becerro;2 Total viviendas familiares;2.938
23066  Peal de Becerro;2.1 Total viviendas principales;2.164
04074  Pechina;2 Total viviendas familiares;1.927
04074  Pechina;2.1 Total viviendas principales;1.296
16153  Pedernoso, El;2 Total viviendas familiares;782
16153  Pedernoso, El;2.1 Total viviendas principales;492
27045  Pedrafita do Cebreiro;2 Total viviendas familiares;664
27045  Pedrafita do Cebreiro;2.1 Total viviendas principales;418
47111  Pedraja de Portillo, La;2 Total viviendas familiares;779
47111  Pedraja de Portillo, La;2.1 Total viviendas principales;464
47112  Pedrajas de San Esteban;2 Total viviendas familiares;1.699
47112  Pedrajas de San Esteban;2.1 Total viviendas principales;1.359
46191  Pedralba;2 Total viviendas familiares;2.418
46191  Pedralba;2.1 Total viviendas principales;1.131
49145  Pedralba de la Pradería;2 Total viviendas familiares;436
49145  Pedralba de la Pradería;2.1 Total viviendas principales;152
40156  Pedraza;2 Total viviendas familiares;479
40156  Pedraza;2.1 Total viviendas principales;187
37235  Pedraza de Alba;2 Total viviendas familiares;197
37235  Pedraza de Alba;2.1 Total viviendas principales;104
34125  Pedraza de Campos;2 Total viviendas familiares;112
34125  Pedraza de Campos;2.1 Total viviendas principales;43
19213  Pedregal, El;2 Total viviendas familiares;114
19213  Pedregal, El;2.1 Total viviendas principales;35
03101  Pedreguer;2 Total viviendas familiares;6.407
03101  Pedreguer;2.1 Total viviendas principales;3.032
41072  Pedrera;2 Total viviendas familiares;2.232
41072  Pedrera;2.1 Total viviendas principales;1.829
17129  Pedret i Marzà;2 Total viviendas familiares;73
17129  Pedret i Marzà;2.1 Total viviendas principales;64
28108  Pedrezuela;2 Total viviendas familiares;3.039
28108  Pedrezuela;2.1 Total viviendas principales;1.959
14050  Pedro Abad;2 Total viviendas familiares;1.527
14050  Pedro Abad;2.1 Total viviendas principales;1.097
05182  Pedro Bernardo;2 Total viviendas familiares;1.667
05182  Pedro Bernardo;2.1 Total viviendas principales;445
18152  Pedro Martínez;2 Total viviendas familiares;722
18152  Pedro Martínez;2.1 Total viviendas principales;476
13061  Pedro Muñoz;2 Total viviendas familiares;4.232
13061  Pedro Muñoz;2.1 Total viviendas principales;3.072
14051  Pedroche;2 Total viviendas familiares;1.112
14051  Pedroche;2.1 Total viviendas principales;637
50204  Pedrola;2 Total viviendas familiares;1.712
50204  Pedrola;2.1 Total viviendas principales;1.444
16154  Pedroñeras, Las;2 Total viviendas familiares;3.351
16154  Pedroñeras, Las;2.1 Total viviendas principales;2.511
05183  Pedro-Rodríguez;2 Total viviendas familiares;147
05183  Pedro-Rodríguez;2.1 Total viviendas principales;85
09256  Pedrosa de Duero;2 Total viviendas familiares;501
09256  Pedrosa de Duero;2.1 Total viviendas principales;200
34126  Pedrosa de la Vega;2 Total viviendas familiares;216
34126  Pedrosa de la Vega;2.1 Total viviendas principales;132
09259  Pedrosa de Río Úrbel;2 Total viviendas familiares;180
09259  Pedrosa de Río Úrbel;2.1 Total viviendas principales;106
09257  Pedrosa del Páramo;2 Total viviendas familiares;64
09257  Pedrosa del Páramo;2.1 Total viviendas principales;38
09258  Pedrosa del Príncipe;2 Total viviendas familiares;188
09258  Pedrosa del Príncipe;2.1 Total viviendas principales;79
47113  Pedrosa del Rey;2 Total viviendas familiares;153
47113  Pedrosa del Rey;2.1 Total viviendas principales;73
50205  Pedrosas, Las;2 Total viviendas familiares;91
50205  Pedrosas, Las;2.1 Total viviendas principales;52
37236  Pedrosillo de Alba;2 Total viviendas familiares;159
37236  Pedrosillo de Alba;2.1 Total viviendas principales;84
37237  Pedrosillo de los Aires;2 Total viviendas familiares;357
37237  Pedrosillo de los Aires;2.1 Total viviendas principales;156
37238  Pedrosillo el Ralo;2 Total viviendas familiares;120
37238  Pedrosillo el Ralo;2.1 Total viviendas principales;45
26114  Pedroso;2 Total viviendas familiares;122
26114  Pedroso;2.1 Total viviendas principales;40
10139  Pedroso de Acim;2 Total viviendas familiares;137
10139  Pedroso de Acim;2.1 Total viviendas principales;48
37239  Pedroso de la Armuña, El;2 Total viviendas familiares;210
37239  Pedroso de la Armuña, El;2.1 Total viviendas principales;103
41073  Pedroso, El;2 Total viviendas familiares;1.378
41073  Pedroso, El;2.1 Total viviendas principales;831
23067  Pegalajar;2 Total viviendas familiares;1.868
23067  Pegalajar;2.1 Total viviendas principales;1.198
03102  Pego;2 Total viviendas familiares;6.127
03102  Pego;2.1 Total viviendas principales;4.144
49146  Pego, El;2 Total viviendas familiares;258
49146  Pego, El;2.1 Total viviendas principales;145
05184  Peguerinos;2 Total viviendas familiares;779
05184  Peguerinos;2.1 Total viviendas principales;153
37240  Pelabravo;2 Total viviendas familiares;808
37240  Pelabravo;2.1 Total viviendas principales;367
45131  Pelahustán;2 Total viviendas familiares;646
45131  Pelahustán;2.1 Total viviendas principales;169
37241  Pelarrodríguez;2 Total viviendas familiares;117
37241  Pelarrodríguez;2.1 Total viviendas principales;67
37242  Pelayos;2 Total viviendas familiares;97
37242  Pelayos;2.1 Total viviendas principales;56
28109  Pelayos de la Presa;2 Total viviendas familiares;2.975
28109  Pelayos de la Presa;2.1 Total viviendas principales;955
40157  Pelayos del Arroyo;2 Total viviendas familiares;93
40157  Pelayos del Arroyo;2.1 Total viviendas principales;38
49147  Peleagonzalo;2 Total viviendas familiares;245
49147  Peleagonzalo;2.1 Total viviendas principales;145
49148  Peleas de Abajo;2 Total viviendas familiares;129
49148  Peleas de Abajo;2.1 Total viviendas principales;84
18153  Peligros;2 Total viviendas familiares;4.519
18153  Peligros;2.1 Total viviendas principales;3.909
39048  Penagos;2 Total viviendas familiares;900
39048  Penagos;2.1 Total viviendas principales;725
03103  Penàguila;2 Total viviendas familiares;349
03103  Penàguila;2.1 Total viviendas principales;131
25164  Penelles;2 Total viviendas familiares;228
25164  Penelles;2.1 Total viviendas principales;192
12089  Peníscola/Peñíscola;2 Total viviendas familiares;16.802
12089  Peníscola/Peñíscola;2.1 Total viviendas principales;3.244
37243  Peña, La;2 Total viviendas familiares;92
37243  Peña, La;2.1 Total viviendas principales;48
37244  Peñacaballera;2 Total viviendas familiares;226
37244  Peñacaballera;2.1 Total viviendas principales;73
01044  Peñacerrada-Urizaharra;2 Total viviendas familiares;315
01044  Peñacerrada-Urizaharra;2.1 Total viviendas principales;136
47114  Peñafiel;2 Total viviendas familiares;3.061
47114  Peñafiel;2.1 Total viviendas principales;2.013
41074  Peñaflor;2 Total viviendas familiares;1.798
41074  Peñaflor;2.1 Total viviendas principales;1.440
47115  Peñaflor de Hornija;2 Total viviendas familiares;224
47115  Peñaflor de Hornija;2.1 Total viviendas principales;132
22172  Peñalba;2 Total viviendas familiares;290
22172  Peñalba;2.1 Total viviendas principales;259
05185  Peñalba de Ávila;2 Total viviendas familiares;209
05185  Peñalba de Ávila;2.1 Total viviendas principales;57
19214  Peñalén;2 Total viviendas familiares;119
19214  Peñalén;2.1 Total viviendas principales;52
06100  Peñalsordo;2 Total viviendas familiares;1.185
06100  Peñalsordo;2.1 Total viviendas principales;450
19215  Peñalver;2 Total viviendas familiares;381
19215  Peñalver;2.1 Total viviendas principales;114
33046  Peñamellera Alta;2 Total viviendas familiares;538
33046  Peñamellera Alta;2.1 Total viviendas principales;268
33047  Peñamellera Baja;2 Total viviendas familiares;1.348
33047  Peñamellera Baja;2.1 Total viviendas principales;539
37245  Peñaparda;2 Total viviendas familiares;447
37245  Peñaparda;2.1 Total viviendas principales;154
37246  Peñaranda de Bracamonte;2 Total viviendas familiares;4.109
