Provincias de destino;Procedencia de los viajeros;Meses;Total
Burgos;Residentes en España;Noviembre;1,93
Burgos;Residentes en España;Diciembre;2,42
Burgos;No Residentes en España;Total;1,7
Burgos;No Residentes en España;Enero;2,14
Burgos;No Residentes en España;Febrero;1,98
Burgos;No Residentes en España;Marzo;1,94
Burgos;No Residentes en España;Abril;2,02
Burgos;No Residentes en España;Mayo;1,33
Burgos;No Residentes en España;Junio;1,47
Burgos;No Residentes en España;Julio;1,85
Burgos;No Residentes en España;Agosto;2,09
Burgos;No Residentes en España;Septiembre;1,39
Burgos;No Residentes en España;Octubre;1,61
Burgos;No Residentes en España;Noviembre;2,02
Burgos;No Residentes en España;Diciembre;2,1
Cáceres;Total;Total;2,42
Cáceres;Total;Enero;2,11
Cáceres;Total;Febrero;2,15
Cáceres;Total;Marzo;2,51
Cáceres;Total;Abril;2,29
Cáceres;Total;Mayo;2,32
Cáceres;Total;Junio;2,21
Cáceres;Total;Julio;2,83
Cáceres;Total;Agosto;2,87
Cáceres;Total;Septiembre;2,32
Cáceres;Total;Octubre;1,97
Cáceres;Total;Noviembre;2,09
Cáceres;Total;Diciembre;2,46
Cáceres;Residentes en España;Total;2,41
Cáceres;Residentes en España;Enero;2,1
Cáceres;Residentes en España;Febrero;2,17
Cáceres;Residentes en España;Marzo;2,56
Cáceres;Residentes en España;Abril;2,12
Cáceres;Residentes en España;Mayo;2,26
Cáceres;Residentes en España;Junio;2,22
Cáceres;Residentes en España;Julio;2,81
Cáceres;Residentes en España;Agosto;2,9
Cáceres;Residentes en España;Septiembre;2,33
Cáceres;Residentes en España;Octubre;2
Cáceres;Residentes en España;Noviembre;2,11
Cáceres;Residentes en España;Diciembre;2,49
Cáceres;No Residentes en España;Total;2,45
Cáceres;No Residentes en España;Enero;2,29
Cáceres;No Residentes en España;Febrero;2,01
Cáceres;No Residentes en España;Marzo;2,29
Cáceres;No Residentes en España;Abril;2,92
Cáceres;No Residentes en España;Mayo;2,59
Cáceres;No Residentes en España;Junio;2,15
Cáceres;No Residentes en España;Julio;3,01
Cáceres;No Residentes en España;Agosto;2,65
Cáceres;No Residentes en España;Septiembre;2,24
Cáceres;No Residentes en España;Octubre;1,81
Cáceres;No Residentes en España;Noviembre;1,99
Cáceres;No Residentes en España;Diciembre;2,24
Cádiz;Total;Total;2,34
Cádiz;Total;Enero;2,44
Cádiz;Total;Febrero;1,79
Cádiz;Total;Marzo;2,15
Cádiz;Total;Abril;2,44
Cádiz;Total;Mayo;2,16
Cádiz;Total;Junio;2,25
Cádiz;Total;Julio;2,8
Cádiz;Total;Agosto;2,77
Cádiz;Total;Septiembre;2,43
Cádiz;Total;Octubre;2,04
Cádiz;Total;Noviembre;2,03
Cádiz;Total;Diciembre;2,33
Cádiz;Residentes en España;Total;2,13
Cádiz;Residentes en España;Enero;2,58
Cádiz;Residentes en España;Febrero;1,56
Cádiz;Residentes en España;Marzo;2,08
Cádiz;Residentes en España;Abril;1,95
Cádiz;Residentes en España;Mayo;1,77
Cádiz;Residentes en España;Junio;1,8
Cádiz;Residentes en España;Julio;2,66
Cádiz;Residentes en España;Agosto;2,7
Cádiz;Residentes en España;Septiembre;2,36
Cádiz;Residentes en España;Octubre;1,65
Cádiz;Residentes en España;Noviembre;1,95
Cádiz;Residentes en España;Diciembre;2,02
Cádiz;No Residentes en España;Total;2,94
Cádiz;No Residentes en España;Enero;2,01
Cádiz;No Residentes en España;Febrero;2,79
Cádiz;No Residentes en España;Marzo;2,34
Cádiz;No Residentes en España;Abril;3,67
Cádiz;No Residentes en España;Mayo;2,71
Cádiz;No Residentes en España;Junio;3,66
Cádiz;No Residentes en España;Julio;3,43
Cádiz;No Residentes en España;Agosto;3,09
Cádiz;No Residentes en España;Septiembre;2,62
Cádiz;No Residentes en España;Octubre;2,84
Cádiz;No Residentes en España;Noviembre;2,3
Cádiz;No Residentes en España;Diciembre;3,41
Cantabria;Total;Total;2,58
Cantabria;Total;Enero;2,11
Cantabria;Total;Febrero;2,08
Cantabria;Total;Marzo;2,39
Cantabria;Total;Abril;1,97
Cantabria;Total;Mayo;2,01
Cantabria;Total;Junio;2,18
Cantabria;Total;Julio;3,17
Cantabria;Total;Agosto;3,31
Cantabria;Total;Septiembre;2,28
Cantabria;Total;Octubre;2,08
Cantabria;Total;Noviembre;2,09
Cantabria;Total;Diciembre;2,51
Cantabria;Residentes en España;Total;2,65
Cantabria;Residentes en España;Enero;2,09
Cantabria;Residentes en España;Febrero;2,06
Cantabria;Residentes en España;Marzo;2,45
Cantabria;Residentes en España;Abril;2,01
Cantabria;Residentes en España;Mayo;2,01
Cantabria;Residentes en España;Junio;2,28
Cantabria;Residentes en España;Julio;3,24
Cantabria;Residentes en España;Agosto;3,49
Cantabria;Residentes en España;Septiembre;2,36
Cantabria;Residentes en España;Octubre;2,07
Cantabria;Residentes en España;Noviembre;2,04
Cantabria;Residentes en España;Diciembre;2,41
Cantabria;No Residentes en España;Total;2,28
Cantabria;No Residentes en España;Enero;2,27
Cantabria;No Residentes en España;Febrero;2,26
Cantabria;No Residentes en España;Marzo;1,78
Cantabria;No Residentes en España;Abril;1,83
Cantabria;No Residentes en España;Mayo;2,01
Cantabria;No Residentes en España;Junio;1,93
Cantabria;No Residentes en España;Julio;2,88
Cantabria;No Residentes en España;Agosto;2,47
Cantabria;No Residentes en España;Septiembre;2,08
Cantabria;No Residentes en España;Octubre;2,14
Cantabria;No Residentes en España;Noviembre;2,49
Cantabria;No Residentes en España;Diciembre;3,71
Castellón;Total;Total;2,85
Castellón;Total;Enero;2,17
